file_id,method,template,decision,reason,source,po,nif,iban,date,base,iva,total,wrong_fields,notes
2026-01-26_P007.pdf,embedded_text,invoice_en,PAGAR,all_rules_pass,challenge/facturas/2026-01-26_P007.pdf,PO-2026-0222,J40112358,ES5531590012348765123407,2026-01-26,1409.40,295.97,1705.37,none,
2026-01-30_P010.pdf,embedded_text,invoice_en,PAGAR,all_rules_pass,challenge/facturas/2026-01-30_P010.pdf,PO-2026-0282,B98455101,ES2702390806667122334455,2026-01-30,2979.67,625.73,3605.40,none,
2026-02-05_P011.pdf,embedded_text,invoice_en,PAGAR,all_rules_pass,challenge/facturas/2026-02-05_P011.pdf,PO-2026-0048,B90233808,ES9368884400123588900142,2026-02-05,918.79,192.95,1111.74,none,
2026-02-07_P002.pdf,embedded_text,invoice_en,PAGAR,all_rules_pass,challenge/facturas/2026-02-07_P002.pdf,PO-2026-0148,A41220987,ES7621000813610123456789,2026-02-07,3937.13,826.80,4763.93,none,
2026-02-07_P007.pdf,embedded_text,invoice_en,PAGAR,all_rules_pass,challenge/facturas/2026-02-07_P007.pdf,PO-2026-0217,J40112358,ES5531590012348765123407,2026-02-07,2316.12,486.39,2802.51,none,
2026-01-16_P004.pdf,embedded_text,modern,PAGAR,all_rules_pass,challenge/facturas/2026-01-16_P004.pdf,PO-2026-0266,B98120774,ES4414650100951704302211,2026-01-16,4164.74,874.60,5039.34,none,
2026-01-23_P006.pdf,embedded_text,modern,PAGAR,all_rules_pass,challenge/facturas/2026-01-23_P006.pdf,PO-2026-0195,A46990201,ES3520385778983000765410,2026-01-23,4695.67,986.09,5681.76,none,
2026-01-25_P001.pdf,embedded_text,modern,PAGAR,all_rules_pass,challenge/facturas/2026-01-25_P001.pdf,PO-2026-0469,B46102331,ES2100491500051234567890,2026-01-25,4808.25,1009.73,5817.98,none,
2026-01-28_P007.pdf,embedded_text,modern,PAGAR,all_rules_pass,challenge/facturas/2026-01-28_P007.pdf,PO-2026-0284,J40112358,ES5531590012348765123407,2026-01-28,4617.36,969.65,5587.01,none,
2026-01-30_P005.pdf,embedded_text,modern,PAGAR,all_rules_pass,challenge/facturas/2026-01-30_P005.pdf,PO-2026-0155,B96233419,ES1800815290070001234567,2026-01-30,5520.08,1159.22,6679.30,none,
2026-01-15_P003.pdf,embedded_text,narrative,PAGAR,all_rules_pass,challenge/facturas/2026-01-15_P003.pdf,PO-2026-0070,B30455812,ES6001825322180201588391,2026-01-15,6543.49,1374.13,7917.62,none,
2026-01-22_P006.pdf,embedded_text,narrative,PAGAR,all_rules_pass,challenge/facturas/2026-01-22_P006.pdf,PO-2026-0021,A46990201,ES3520385778983000765410,2026-01-22,1969.59,413.61,2383.20,none,
2026-02-22_P008.pdf,embedded_text,narrative,PAGAR,all_rules_pass,challenge/facturas/2026-02-22_P008.pdf,PO-2026-0303,B91455230,ES0900730100510505331902,2026-02-22,6032.25,1266.77,7299.02,none,
